complaint_text,complaint_type,location,priority
canteen staff nt helpful during peak hours 🤪,Mess / Canteen,Mess / Canteen,Medium
transport bus driver nt available 🚌,Transport,Campus (General),Low
hostel d room keys nt wrking,Hostel,Hostel D,Medium
lab experiments r boring at times 🧬,General,Laboratory,Low
wifi signal weak in hostel d,Electricity,Hostel D,Medium
hostel a room nt spacious 🛋️,Hostel,Hostel A,High
library study area nt comfortable for group study 🛋️,Library,Library,Medium
it lab nt well equipped for all courses 🧮,IT / Network,Laboratory,Low
canteen food nt tasty at times 🤢,Mess / Canteen,Mess / Canteen,Medium
sports ground nt well maintained at night 🏋️‍♀️,General,Sports Ground,High
auditorium seating nt available for all 🛋️,Civil / Infrastructure,Auditorium,Low
main building security nt good during peak hours 🚨,Civil / Infrastructure,Main Building,Medium
hostel c room allocation nt fair,Hostel,Hostel C,High
library books r always up to date 📚,Library,Library,Low
transport bus nt regular during peak hours 🚌,Transport,Campus (General),Medium
hostel d washroom nt well maintained 🚿,Hostel,Hostel D,Low
lab equipment nt in good condition 🧬,IT / Network,Laboratory,High
canteen staff nt friendly during peak hours 🤪,Mess / Canteen,Mess / Canteen,Medium
sports ground equipment nt available for all 🏋️‍♀️,General,Sports Ground,Low
auditorium sound system nt loud enough 🎧,Civil / Infrastructure,Auditorium,High
main building parking nt available for students 🅿️,Civil / Infrastructure,Main Building,Medium
hostel c room keys nt wrking properly,Hostel,Hostel C,Low
wifi signal strong in hostel b 📈,Electricity,Hostel B,Medium
lab experiments r interesting at times 🧬,General,Laboratory,Low
hostel a room allocation nt fair,Hostel,Hostel A,High
library study area nt quiet during peak hours 📖,Library,Library,Medium
it prof nt available during peak hours 🤔,IT / Network,Main Building,Low
canteen food nt healthy at times 🥗,Mess / Canteen,Mess / Canteen,Medium
transport bus driver nt friendly during peak hours 🚌,Transport,Campus (General),High
hostel d room keys nt wrking,Hostel,Hostel D,Medium
lab equipment nt available for all experiments 🧬,IT / Network,Laboratory,Low
sports ground nt well lit 🏋️‍♀️,General,Sports Ground,Medium
auditorium seating nt comfortable 🛋️,Civil / Infrastructure,Auditorium,High
main building security nt good 🚨,Civil / Infrastructure,Main Building,Low
hostel c room allocation nt fair,Hostel,Hostel C,Medium
library books r always available for all 📚,Library,Library,High
transport bus nt available for all students 🚌,Transport,Campus (General),Medium
hostel d room nt comfortable 🛋️,Hostel,Hostel D,Low
lab experiments r nt boring 🧬,General,Laboratory,High
wifi signal weak in lab,Electricity,Laboratory,Medium
hostel b room keys nt wrking,Hostel,Hostel B,Low
library study area nt available 📖,Library,Library,Medium
it lab nt well maintained 🧮,IT / Network,Laboratory,High
canteen staff nt helpful 🤪,Mess / Canteen,Mess / Canteen,Medium
sports ground equipment nt in good condition 🏋️‍♀️,General,Sports Ground,Low
auditorium sound system nt wrking 🎧,Civil / Infrastructure,Auditorium,High
main building parking nt available 🅿️,Civil / Infrastructure,Main Building,Medium
hostel c washroom nt clean 🚿,Hostel,Hostel C,Medium
transport bus driver nt available 🚌,Transport,Campus (General),Low
hostel d room allocation nt fair,Hostel,Hostel D,High
lab equipment nt in good condition 🧬,IT / Network,Laboratory,Medium
wifi signal strong in hostel c 📈,Electricity,Hostel C,Low
hostel a room keys nt wrking,Hostel,Hostel A,Medium
library books r nt enough for all students 📚,Library,Library,High
it prof nt helpful 🤔,IT / Network,Main Building,Low
canteen food nt tasty 🤢,Mess / Canteen,Mess / Canteen,Medium
sports ground nt well maintained 🏋️‍♀️,General,Sports Ground,Low
auditorium seating nt available 🛋️,Civil / Infrastructure,Auditorium,High
main building security nt good 🚨,Civil / Infrastructure,Main Building,Medium
hostel c room keys nt wrking properly,Hostel,Hostel C,Low
wifi signal weak in hostel b,Electricity,Hostel B,Medium
lab experiments r boring 🧬,General,Laboratory,High
hostel a room allocation nt fair,Hostel,Hostel A,Medium
library study area nt quiet 📖,Library,Library,Low
it lab nt well equipped 🧮,IT / Network,Laboratory,High
canteen staff nt friendly 🤪,Mess / Canteen,Mess / Canteen,Medium
sports ground equipment nt available 🏋️‍♀️,General,Sports Ground,Low
auditorium sound system nt loud 🎧,Civil / Infrastructure,Auditorium,High
main building parking nt available for students 🅿️,Civil / Infrastructure,Main Building,Medium
hostel d room keys nt wrking,Hostel,Hostel D,Medium
lab equipment nt available 🧬,IT / Network,Laboratory,Low
wifi signal strong in lab 📈,Electricity,Laboratory,High
hostel b room allocation nt fair,Hostel,Hostel B,Medium
library books r always up to date 📚,Library,Library,Low
it prof nt available 🤔,IT / Network,Main Building,Medium
canteen food nt healthy 🥗,Mess / Canteen,Mess / Canteen,Medium
transport bus driver nt friendly 🚌,Transport,Campus (General),High
hostel d room nt comfortable 🛋️,Hostel,Hostel D,Low
lab experiments r interesting 🧬,General,Laboratory,High
wifi signal weak in hostel a,Electricity,Hostel A,Medium
hostel c room keys nt wrking properly,Hostel,Hostel C,Low
library study area nt available at night 📖,Library,Library,Medium
it lab nt well maintained 🧮,IT / Network,Laboratory,Low
canteen staff nt helpful 🤪,Mess / Canteen,Mess / Canteen,Medium
sports ground equipment nt in good condition 🏋️‍♀️,General,Sports Ground,High
auditorium seating nt comfortable 🛋️,Civil / Infrastructure,Auditorium,Low
main building security nt good 🚨,Civil / Infrastructure,Main Building,Medium
hostel d room allocation nt fair,Hostel,Hostel D,High
lab equipment nt available for all 🧬,IT / Network,Laboratory,Medium
wifi signal strong in hostel d 📈,Electricity,Hostel D,Low
hostel a room keys nt wrking,Hostel,Hostel A,Medium
library books r always available 📚,Library,Library,High
it prof nt helpful 🤔,IT / Network,Main Building,Low
canteen food nt tasty 🤢,Mess / Canteen,Mess / Canteen,Medium
transport bus nt regular 🚌,Transport,Campus (General),High
hostel b room allocation nt fair,Hostel,Hostel B,Medium
lab experiments r boring 🧬,General,Laboratory,Low
wifi signal weak in lab,Electricity,Laboratory,Medium
hostel c room allocation nt fair,Hostel,Hostel C,High
library study area nt quiet 📖,Library,Library,Low
it lab nt well equipped 🧮,IT / Network,Laboratory,High
canteen staff nt friendly 🤪,Mess / Canteen,Mess / Canteen,Medium
sports ground equipment nt available 🏋️‍♀️,General,Sports Ground,Low
auditorium sound system nt wrking 🎧,Civil / Infrastructure,Auditorium,High
main building parking nt available 🅿️,Civil / Infrastructure,Main Building,Medium
hostel d room keys nt wrking,Hostel,Hostel D,Medium
lab equipment nt in good condition 🧬,IT / Network,Laboratory,Low
wifi signal strong in hostel b 📈,Electricity,Hostel B,Medium
hostel a room allocation nt fair,Hostel,Hostel A,High
library books r always up to date 📚,Library,Library,Low
it prof nt available 🤔,IT / Network,Main Building,Medium
canteen food nt healthy 🥗,Mess / Canteen,Mess / Canteen,Medium
transport bus driver nt friendly 🚌,Transport,Campus (General),High
hostel d room nt comfortable 🛋️,Hostel,Hostel D,Low
lab experiments r interesting 🧬,General,Laboratory,High
wifi signal weak in hostel c,Electricity,Hostel C,Medium
hostel b room keys nt wrking,Hostel,Hostel B,Low
library study area nt available 📖,Library,Library,Medium
it lab nt well maintained 🧮,IT / Network,Laboratory,Low
canteen staff nt helpful 🤪,Mess / Canteen,Mess / Canteen,Medium
sports ground equipment nt in good condition 🏋️‍♀️,General,Sports Ground,High
auditorium seating nt comfortable 🛋️,Civil / Infrastructure,Auditorium,Low
main building security nt good 🚨,Civil / Infrastructure,Main Building,Medium
hostel c room keys nt wrking properly,Hostel,Hostel C,Low
wifi signal strong in hostel a 📈,Electricity,Hostel A,Medium
hostel d room allocation nt fair,Hostel,Hostel D,High
lab equipment nt available for all experiments 🧬,IT / Network,Laboratory,Low
library books r always available for all 📚,Library,Library,High
it prof nt helpful 🤔,IT / Network,Main Building,Medium
canteen food nt tasty 🤢,Mess / Canteen,Mess / Canteen,Medium
transport bus nt regular 🚌,Transport,Campus (General),High
hostel b room allocation nt fair,Hostel,Hostel B,Medium
lab experiments r boring 🧬,General,Laboratory,Low
wifi signal weak in hostel d,Electricity,Hostel D,Medium
hostel c room allocation nt fair,Hostel,Hostel C,High
library study area nt quiet 📖,Library,Library,Low
it lab nt well equipped 🧮,IT / Network,Laboratory,High
canteen staff nt friendly 🤪,Mess / Canteen,Mess / Canteen,Medium
sports ground equipment nt available 🏋️‍♀️,General,Sports Ground,Low
auditorium sound system nt loud 🎧,Civil / Infrastructure,Auditorium,High
main building parking nt available for students 🅿️,Civil / Infrastructure,Main Building,Medium
hostel d room keys nt wrking,Hostel,Hostel D,Medium
"no wifi in hostel a, its really annoying 🙄",IT / Network,Hostel A,High
my prof is nt responding to my emails 📧,General,Main Building,Medium
hostel b food is terrible 🤢,Mess / Canteen,Hostel B,Low
the lab equipment is outdated 🎯,Civil / Infrastructure,Laboratory,High
i lost my id card somewhere in campus 📚,General,Campus (General),Medium
the hostel a water supply is nt working 🚽,Water Supply,Hostel A,High
why is the library closed on sundays 🤔,Library,Library,Low
no electricity in hostel c 🚫,Electricity,Hostel D,Medium
i need help with my project pls 🤝,IT / Network,Main Building,Low
the sports ground is nt well maintained 🏋️‍♀️,Civil / Infrastructure,Sports Ground,Medium
hostel d is too noisy 🗣️,Hostel,Hostel D,Low
the auditorium ac is nt working 🌡️,Civil / Infrastructure,Auditorium,High
i forgot my laptop in the mess 📊,General,Mess / Canteen,Medium
the wifi in library is slow 📊,IT / Network,Library,Low
the hostel b room is too small 🛋️,Hostel,Hostel B,Medium
i want to change my hostel 🏠,Hostel,Hostel A,Low
the lab assistant is nt helpful 🧬,General,Laboratory,Medium
the campus is too big 🗺️,General,Campus (General),Low
i lost my phone in the hostel 📱,General,Hostel C,Medium
the hostel a food is good 🍴,Mess / Canteen,Hostel A,Low
the library books are outdated 📖,Library,Library,Medium
the sports ground is awesome 🏋️‍♂️,Civil / Infrastructure,Sports Ground,Low
i need help with my assignment 📝,IT / Network,Main Building,Medium
the hostel c is too far 🚶‍♀️,Hostel,Hostel C,Low
the auditorium is too small 🗣️,Civil / Infrastructure,Auditorium,Medium
the wifi in hostel d is good 📈,IT / Network,Hostel D,Low
the hostel b room is clean 🧹,Hostel,Hostel B,Low
the lab equipment is good 🎯,Civil / Infrastructure,Laboratory,Medium
i want to meet the prof 📝,General,Main Building,Medium
the campus is beautiful 🌳,General,Campus (General),Low
the hostel a is too noisy 🗣️,Hostel,Hostel A,Medium
the library is too quiet 🗣️,Library,Library,Low
the sports ground is crowded 🏋️‍♀️,Civil / Infrastructure,Sports Ground,Medium
i need help with my project 🤝,IT / Network,Main Building,Medium
the hostel c food is bad 🤢,Mess / Canteen,Hostel C,Low
the auditorium is awesome 🗣️,Civil / Infrastructure,Auditorium,Low
the wifi in library is good 📊,IT / Network,Library,Low
the hostel d is too small 🛋️,Hostel,Hostel D,Medium
i lost my book in the library 📖,General,Library,Medium
the lab assistant is helpful 🧬,General,Laboratory,Low
the campus is too hot ☀️,General,Campus (General),Medium
the hostel b is too big 🏠,Hostel,Hostel B,Low
i want to change my course 📚,General,Main Building,Medium
